"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 08- 29","13,470,000","13,549,000","13,549,000","13,470,000","2.28K","-0.58%"
"2020- 08- 28","13,549,000","13,401,000","13,549,000","13,401,000","3.04K","1.07%"
"2020- 08- 27","13,405,000","13,561,000","13,561,000","13,397,000","5.46K","-1.17%"
"2020- 08- 26","13,564,000","13,476,000","13,566,000","13,476,000","7.35K","0.64%"
"2020- 08- 25","13,478,000","13,876,000","13,876,000","13,471,000","5.63K","-2.88%"
"2020- 08- 24","13,878,000","13,817,000","13,878,000","13,817,000","3.40K","0.55%"
"2020- 08- 23","13,802,000","13,850,000","13,850,000","13,773,000","2.12K","-0.27%"
"2020- 08- 22","13,840,000","13,781,000","13,840,000","13,675,000","3.33K","0.46%"
"2020- 08- 21","13,777,000","13,950,000","13,950,000","13,777,000","4.57K","-1.36%"
"2020- 08- 20","13,967,000","13,886,000","13,967,000","13,860,000","3.05K","0.61%"
"2020- 08- 19","13,883,000","14,000,000","14,000,000","13,872,000","5.47K","-0.84%"
"2020- 08- 18","14,000,000","14,219,000","14,261,000","14,000,000","5.96K","-1.55%"
"2020- 08- 17","14,220,000","13,890,000","14,220,000","13,862,000","7.07K","2.38%"
"2020- 08- 16","13,889,000","13,879,000","13,889,000","13,826,000","2.62K","0.07%"
"2020- 08- 15","13,879,000","13,845,000","13,890,000","13,845,000","3.78K","0.23%"
"2020- 08- 14","13,847,000","13,810,000","13,847,000","13,800,000","5.43K","0.27%"
"2020- 08- 13","13,810,000","13,708,000","13,810,000","13,510,000","6.51K","0.73%"
"2020- 08- 12","13,710,000","13,619,000","13,710,000","13,436,000","4.49K","0.67%"
"2020- 08- 11","13,619,000","13,996,000","13,996,000","13,619,000","7.04K","-2.67%"
"2020- 08- 10","13,993,000","13,812,000","14,030,000","13,812,000","6.09K","1.31%"
"2020- 08- 09","13,812,000","13,866,000","13,866,000","13,812,000","2.86K","-0.54%"
"2020- 08- 08","13,887,000","13,778,000","13,887,000","13,723,000","2.60K","0.80%"
"2020- 08- 07","13,777,000","13,882,000","13,919,000","13,777,000","4.46K","-0.78%"
"2020- 08- 06","13,885,000","13,849,000","13,885,000","13,849,000","5.74K","0.29%"
"2020- 08- 05","13,845,000","13,319,000","13,845,000","13,319,000","7.15K","3.96%"
"2020- 08- 04","13,318,000","13,273,000","13,367,000","13,273,000","4.32K","0.39%"
"2020- 08- 03","13,266,000","13,059,000","13,277,000","13,059,000","4.40K","1.81%"
"2020- 08- 02","13,030,000","13,932,000","13,950,000","13,030,000","10.73K","-6.41%"
"2020- 08- 01","13,922,000","13,393,000","13,922,000","13,393,000","5.46K","3.76%"
"2020- 07- 31","13,417,000","13,098,000","13,417,000","13,098,000","4.61K","2.44%"
"2020- 07- 30","13,098,000","13,121,000","13,121,000","12,985,000","4.75K","-0.19%"
"2020- 07- 29","13,123,000","12,779,000","13,123,000","12,779,000","5.84K","2.65%"
"2020- 07- 28","12,784,000","12,916,000","12,969,000","12,784,000","7.55K","-1.04%"
"2020- 07- 27","12,919,000","11,718,000","13,171,000","11,718,000","10.52K","10.28%"
"2020- 07- 26","11,715,000","11,477,000","11,715,000","11,477,000","4.14K","2.07%"
"2020- 07- 25","11,477,000","11,346,000","11,477,000","11,346,000","1.58K","1.15%"
"2020- 07- 24","11,346,000","11,330,000","11,346,000","11,264,000","2.16K","0.13%"
"2020- 07- 23","11,331,000","11,269,000","11,331,000","11,263,000","3.09K","0.57%"
"2020- 07- 22","11,267,000","11,117,000","11,267,000","11,105,000","2.47K","1.29%"
"2020- 07- 21","11,123,000","10,950,000","11,179,000","10,950,000","3.24K","1.58%"
"2020- 07- 20","10,950,000","10,951,000","10,951,000","10,939,000","1.68K","-0.01%"
"2020- 07- 19","10,951,000","10,905,000","10,951,000","10,905,000","0.98K","0.42%"
"2020- 07- 18","10,905,000","10,937,000","10,937,000","10,905,000","0.95K","-0.40%"
