"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 05- 08","71,598,000","68,621,000","71,598,000","68,621,000","2.85K","4.27%"
"2021- 05- 07","68,663,000","68,432,000","68,663,000","68,356,000","4.55K","0.40%"
"2021- 05- 06","68,392,000","68,586,000","68,586,000","68,392,000","4.78K","-0.30%"
"2021- 05- 05","68,596,000","67,166,000","68,901,000","66,769,000","4.34K","1.85%"
"2021- 05- 04","67,348,000","69,889,000","69,889,000","67,283,000","4.43K","-3.61%"
"2021- 05- 03","69,869,000","68,344,000","69,869,000","68,344,000","2.25K","2.22%"
"2021- 05- 02","68,350,000","68,979,000","68,979,000","68,350,000","1.59K","-0.84%"
"2021- 05- 01","68,929,000","68,000,000","68,946,000","68,000,000","1.75K","1.37%"
"2021- 04- 30","68,000,000","63,737,000","68,000,000","63,737,000","2.38K","6.72%"
"2021- 04- 29","63,720,000","64,074,000","64,074,000","63,720,000","2.10K","-0.56%"
"2021- 04- 28","64,078,000","64,579,000","64,579,000","63,812,000","1.98K","-0.79%"
"2021- 04- 27","64,588,000","64,064,000","64,588,000","64,064,000","2.66K","0.84%"
"2021- 04- 26","64,050,000","59,746,000","64,050,000","59,746,000","3.28K","7.30%"
"2021- 04- 25","59,690,000","60,870,000","60,870,000","59,690,000","2.59K","-1.94%"
"2021- 04- 24","60,870,000","61,164,000","61,164,000","59,788,000","3.03K","-0.47%"
"2021- 04- 23","61,155,000","59,284,000","61,155,000","59,284,000","5.98K","3.13%"
"2021- 04- 22","59,297,000","67,849,000","67,849,000","59,297,000","4.37K","-12.59%"
"2021- 04- 21","67,840,000","70,280,000","70,280,000","67,840,000","2.81K","-3.35%"
"2021- 04- 20","70,191,000","70,926,000","70,926,000","69,674,000","4.00K","-1.04%"
"2021- 04- 19","70,926,000","75,690,000","75,690,000","70,926,000","3.11K","-6.29%"
"2021- 04- 18","75,690,000","77,916,000","77,916,000","75,690,000","2.87K","-2.83%"
"2021- 04- 17","77,891,000","79,123,000","79,123,000","77,891,000","2.97K","-1.56%"
"2021- 04- 16","79,123,000","79,390,000","79,390,000","79,011,000","2.94K","-0.37%"
"2021- 04- 15","79,418,000","80,143,000","80,143,000","79,418,000","2.17K","-0.90%"
"2021- 04- 14","80,143,000","80,621,000","80,621,000","80,143,000","3.76K","-0.57%"
"2021- 04- 13","80,600,000","77,991,000","80,600,000","77,991,000","3.14K","3.38%"
"2021- 04- 12","77,968,000","78,504,000","78,504,000","77,968,000","1.95K","-0.68%"
"2021- 04- 11","78,504,000","78,200,000","78,504,000","78,200,000","2.08K","0.39%"
"2021- 04- 10","78,200,000","75,367,000","78,200,000","75,367,000","2.63K","3.76%"
"2021- 04- 09","75,367,000","74,975,000","75,367,000","74,975,000","1.58K","0.53%"
"2021- 04- 08","74,972,000","72,994,000","74,972,000","72,994,000","2.74K","2.71%"
"2021- 04- 07","72,994,000","77,482,000","77,482,000","72,810,000","4.13K","-5.77%"
"2021- 04- 06","77,467,000","77,998,000","77,998,000","77,467,000","3.68K","-0.66%"
"2021- 04- 05","77,980,000","73,960,000","77,980,000","73,960,000","4.06K","5.44%"
"2021- 04- 04","73,960,000","72,185,000","73,960,000","72,185,000","2.20K","2.46%"
"2021- 04- 03","72,185,000","73,664,000","73,664,000","72,185,000","2.85K","-2.02%"
"2021- 04- 02","73,674,000","72,209,000","73,674,000","72,209,000","2.12K","2.03%"
"2021- 04- 01","72,206,000","71,064,000","72,206,000","71,064,000","2.18K","1.60%"
"2021- 03- 31","71,070,000","70,472,000","71,070,000","70,472,000","2.74K","0.85%"
"2021- 03- 30","70,472,000","68,360,000","70,472,000","68,360,000","1.79K","3.09%"
"2021- 03- 29","68,360,000","67,053,000","68,427,000","67,053,000","1.56K","1.95%"
"2021- 03- 28","67,053,000","66,388,000","67,053,000","66,388,000","0.82K","0.92%"
"2021- 03- 27","66,444,000","65,525,000","66,444,000","65,525,000","0.87K","1.41%"
