"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 06- 03","11,650,000","11,522,000","11,661,000","11,400,000","0.75K","1.08%"
"2020- 06- 02","11,525,000","12,073,000","12,160,000","11,303,000","3.39K","-4.53%"
"2020- 06- 01","12,072,000","11,437,000","12,124,000","11,415,000","4.08K","5.55%"
"2020- 05- 31","11,437,000","11,579,000","11,584,000","11,365,000","0.93K","-1.23%"
"2020- 05- 30","11,579,000","11,405,000","11,605,000","11,319,000","1.30K","1.53%"
"2020- 05- 29","11,405,000","11,570,000","11,598,000","11,280,000","0.58K","-1.41%"
"2020- 05- 28","11,568,000","11,156,000","11,595,000","11,112,000","1.46K","3.75%"
"2020- 05- 27","11,150,000","10,737,000","11,172,000","10,729,000","1.03K","3.85%"
"2020- 05- 26","10,737,000","10,821,000","10,917,000","10,610,000","0.82K","-0.78%"
"2020- 05- 25","10,821,000","10,648,000","10,888,000","10,523,000","1.03K","1.56%"
"2020- 05- 24","10,655,000","11,134,000","11,240,000","10,648,000","2.23K","-4.30%"
"2020- 05- 23","11,134,000","11,122,000","11,295,000","11,040,000","0.57K","0.11%"
"2020- 05- 22","11,122,000","11,093,000","11,236,000","10,895,000","0.88K","0.24%"
"2020- 05- 21","11,095,000","11,516,000","11,605,000","10,796,000","3.31K","-3.71%"
"2020- 05- 20","11,523,000","11,728,000","11,777,000","11,370,000","2.69K","-1.75%"
"2020- 05- 19","11,728,000","11,686,000","11,816,000","11,462,000","0.95K","0.35%"
"2020- 05- 18","11,687,000","11,614,000","11,875,000","11,456,000","0.87K","0.63%"
"2020- 05- 17","11,614,000","11,317,000","11,815,000","11,272,000","1.57K","2.62%"
"2020- 05- 16","11,317,000","11,323,000","11,570,000","11,203,000","1.15K","-0.04%"
"2020- 05- 15","11,322,000","11,787,000","11,829,000","11,236,000","2.17K","-3.92%"
"2020- 05- 14","11,784,000","11,270,000","11,944,000","11,231,000","1.89K","4.64%"
"2020- 05- 13","11,262,000","10,675,000","11,393,000","10,654,000","2.43K","5.50%"
"2020- 05- 12","10,675,000","10,437,000","10,845,000","10,397,000","1.69K","2.28%"
"2020- 05- 11","10,437,000","10,690,000","11,256,000","10,137,000","5.09K","-2.43%"
"2020- 05- 10","10,697,000","11,544,000","11,573,000","10,200,000","4.03K","-7.34%"
"2020- 05- 09","11,544,000","11,878,000","11,958,000","11,450,000","1.39K","-2.81%"
"2020- 05- 08","11,878,000","12,004,000","12,162,000","11,810,000","1.77K","-1.10%"
"2020- 05- 07","12,010,000","11,271,000","12,070,000","11,140,000","5.52K","6.56%"
"2020- 05- 06","11,271,000","10,980,000","11,445,000","10,880,000","2.30K","2.74%"
