"기준일자","상품명","당일신규실행건수","당일신규실행금액(억원)"
"2021-02-27","취업후상환학자금_등록금","4671","122"
"2021-02-27","취업후상환학자금_생활비","6295","62"
"2021-02-28","일반상환학자금_등록금","108","4"
"2021-02-28","일반상환학자금_생활비","0","0"
"2021-02-28","취업후상환학자금_등록금","51","2"
"2021-02-28","취업후상환학자금_생활비","0","0"
"2021-03-01","일반상환학자금_등록금","57","2"
"2021-03-01","일반상환학자금_생활비","0","0"
"2021-03-01","취업후상환학자금_등록금","47","1"
"2021-03-01","취업후상환학자금_생활비","0","0"
"2021-03-02","일반상환학자금_등록금","0","0"
"2021-03-02","일반상환학자금_생활비","0","0"
"2021-03-02","취업후상환학자금_등록금","0","0"
"2021-03-02","취업후상환학자금_생활비","0","0"
"2021-03-03","일반상환학자금_등록금","1188","39"
"2021-03-03","일반상환학자금_생활비","2832","29"
"2021-03-03","취업후상환학자금_등록금","2186","57"
"2021-03-03","취업후상환학자금_생활비","8085","76"
"2021-03-04","일반상환학자금_등록금","1392","49"
"2021-03-04","일반상환학자금_생활비","1972","21"
"2021-03-04","취업후상환학자금_등록금","1581","43"
"2021-03-04","취업후상환학자금_생활비","4667","43"
"2021-03-05","일반상환학자금_등록금","1212","43"
"2021-03-05","일반상환학자금_생활비","1630","17"
"2021-03-05","취업후상환학자금_등록금","1309","35"
"2021-03-05","취업후상환학자금_생활비","3680","33"
"2021-03-06","일반상환학자금_등록금","1023","36"
"2021-03-06","일반상환학자금_생활비","1564","16"
"2021-03-06","취업후상환학자금_등록금","1260","36"
"2021-03-06","취업후상환학자금_생활비","3572","31"
"2021-03-07","일반상환학자금_등록금","0","0"
"2021-03-07","일반상환학자금_생활비","0","0"
"2021-03-07","취업후상환학자금_등록금","0","0"
"2021-03-07","취업후상환학자금_생활비","0","0"
"2021-03-08","일반상환학자금_등록금","0","0"
"2021-03-08","일반상환학자금_생활비","0","0"
"2021-03-08","취업후상환학자금_등록금","0","0"
"2021-03-08","취업후상환학자금_생활비","0","0"
"2021-03-09","일반상환학자금_등록금","732","25"
"2021-03-09","일반상환학자금_생활비","1749","17"
"2021-03-09","취업후상환학자금_등록금","876","24"
"2021-03-09","취업후상환학자금_생활비","4094","33"
"2021-03-10","일반상환학자금_등록금","844","29"
"2021-03-10","일반상환학자금_생활비","1469","15"
"2021-03-10","취업후상환학자금_등록금","1172","32"
"2021-03-10","취업후상환학자금_생활비","3257","29"
"2021-03-11","일반상환학자금_등록금","1270","38"
"2021-03-11","일반상환학자금_생활비","1575","17"
"2021-03-11","취업후상환학자금_등록금","1685","43"
"2021-03-11","취업후상환학자금_생활비","3263","29"
"2021-03-12","일반상환학자금_등록금","1664","55"
"2021-03-12","일반상환학자금_생활비","1660","18"
"2021-03-12","취업후상환학자금_등록금","1907","50"
"2021-03-12","취업후상환학자금_생활비","3264","29"
"2021-03-13","일반상환학자금_등록금","1292","43"
"2021-03-13","일반상환학자금_생활비","1474","15"
"2021-03-13","취업후상환학자금_등록금","1391","37"
"2021-03-13","취업후상환학자금_생활비","3045","26"
"2021-03-14","일반상환학자금_등록금","0","0"
"2021-03-14","일반상환학자금_생활비","0","0"
